Recency,Frequency,Monetary,Cluster,Segment
29,5,3938.5499999999997,0,Regular
17,18,7375.79,3,High-Value
54,1,723.38,0,Regular
16,11,6816.42,0,Regular
23,6,13219.74,0,Regular
4,1,680.99,0,Regular
11,1,527.2,0,Regular
28,4,3281.63,0,Regular
23,10,5596.32,0,Regular
17,8,2484.98,0,Regular
33,6,4541.72,0,Regular
10,3,1298.66,0,Regular
336,1,334.93,1,Occasional
5,10,5417.93,0,Regular
39,1,460.40000000000003,0,Regular
63,2,263.21000000000004,0,Regular
166,2,433.74,1,Occasional
16,7,1246.1000000000001,0,Regular
82,1,1043.1,0,Regular
21,3,403.70000000000005,0,Regular
23,11,4257.82,0,Regular
337,1,2169.39,1,Occasional
96,5,3723.87,0,Regular
18,2,482.04999999999995,0,Regular
233,1,73.5,1,Occasional
134,3,1304.81,0,Regular
26,2,398.27,0,Regular
284,1,176.5,1,Occasional
143,2,982.5699999999999,0,Regular
66,2,138.03,0,Regular
113,1,612.29,0,Regular
267,1,1017.68,1,Occasional
353,1,383.7,1,Occasional
78,2,1312.06,0,Regular
28,5,2502.84,0,Regular
1,5,2056.89,0,Regular
64,1,340.84,0,Regular
79,5,2634.26,0,Regular
143,1,599.68,1,Occasional
39,2,192.72,0,Regular
19,11,1789.77,0,Regular
9,8,4485.72,0,Regular
1,3,1316.66,0,Regular
82,3,348.71000000000004,0,Regular
9,6,1933.48,0,Regular
60,4,1662.28,0,Regular
15,1,125.22,0,Regular
30,1,349.83000000000004,0,Regular
131,1,1089.18,0,Regular
92,2,716.35,0,Regular
43,3,12601.830000000002,0,Regular
29,1,363.95,0,Regular
22,4,5568.35,0,Regular
20,17,13400.24,3,High-Value
30,3,981.18,0,Regular
36,1,372.7,0,Regular
75,2,1000.39,0,Regular
47,2,1161.5,0,Regular
198,2,207.79999999999998,1,Occasional
166,1,95.19999999999999,1,Occasional
79,1,964.83,0,Regular
358,1,168.0,1,Occasional
39,2,437.82,0,Regular
8,10,3692.28,0,Regular
50,2,603.71,0,Regular
16,5,11990.960000000001,0,Regular
8,1,269.96,0,Regular
311,2,561.71,1,Occasional
5,3,2134.01,0,Regular
303,1,238.85,1,Occasional
8,7,3781.7400000000002,0,Regular
261,1,456.9,1,Occasional
289,1,145.92,1,Occasional
86,1,351.65,0,Regular
23,10,9401.28,0,Regular
2,32,4124.69,3,High-Value
40,2,519.61,0,Regular
9,2,1020.42,0,Regular
227,1,160.54000000000002,1,Occasional
316,1,218.45,1,Occasional
36,5,1315.83,0,Regular
35,3,657.8,0,Regular
21,2,2794.51,0,Regular
78,1,440.42,0,Regular
247,1,415.7,1,Occasional
40,1,197.71,0,Regular
239,2,511.36,1,Occasional
3,15,7281.38,3,High-Value
4,9,2338.15,0,Regular
234,2,2040.1,1,Occasional
17,1,196.94000000000003,0,Regular
8,1,144.0,0,Regular
39,1,214.89999999999998,0,Regular
29,2,646.68,0,Regular
211,2,9864.26,1,Occasional
317,1,452.84999999999997,1,Occasional
92,2,437.6,0,Regular
109,3,418.09999999999997,0,Regular
38,10,3338.2200000000003,0,Regular
51,2,618.27,0,Regular
19,4,3811.22,0,Regular
10,8,3023.08,0,Regular
29,7,1032.58,0,Regular
29,10,2599.04,0,Regular
190,5,577.0600000000001,1,Occasional
59,1,153.12,0,Regular
22,1,739.1999999999999,0,Regular
79,2,254.18,0,Regular
60,1,1579.51,0,Regular
78,3,1126.85,0,Regular
23,5,2099.54,0,Regular
52,1,1193.32,0,Regular
74,1,704.0400000000001,0,Regular
57,5,3344.38,0,Regular
278,1,315.6,1,Occasional
2,4,2291.19,0,Regular
95,2,713.3,0,Regular
29,1,355.53,0,Regular
22,1,177.31,0,Regular
16,9,3641.24,0,Regular
15,3,1339.41,0,Regular
2,20,13689.67,3,High-Value
232,1,180.1,1,Occasional
276,1,305.1,1,Occasional
106,2,641.13,0,Regular
212,2,2683.82,1,Occasional
23,9,6620.48,0,Regular
11,7,4478.53,0,Regular
4,3,786.46,0,Regular
10,2,1270.88,0,Regular
57,1,640.5,0,Regular
59,4,2163.98,0,Regular
90,2,1689.18,0,Regular
67,8,6021.9,0,Regular
33,1,671.69,0,Regular
239,1,486.1,1,Occasional
24,3,1174.58,0,Regular
115,1,185.9,0,Regular
25,3,1013.26,0,Regular
128,6,3344.64,0,Regular
130,1,477.91,0,Regular
34,4,1775.18,0,Regular
5,2,1346.97,0,Regular
22,12,3722.82,0,Regular
155,1,318.05,1,Occasional
107,3,623.51,0,Regular
3,1,314.44,0,Regular
335,1,114.0,1,Occasional
331,1,919.98,1,Occasional
149,2,2209.85,1,Occasional
11,5,601.98,0,Regular
17,5,4051.17,0,Regular
11,4,1643.18,0,Regular
19,1,686.05,0,Regular
30,1,91.68,0,Regular
11,1,245.1,0,Regular
1,11,3849.78,0,Regular
8,9,4881.88,0,Regular
325,1,63.0,1,Occasional
58,1,620.13,0,Regular
12,4,3807.15,0,Regular
151,3,2744.0299999999997,1,Occasional
10,5,2996.05,0,Regular
330,1,225.89999999999998,1,Occasional
5,2,610.52,0,Regular
39,4,1970.6,0,Regular
25,6,1331.39,0,Regular
42,12,17628.46,3,High-Value
59,4,1113.02,0,Regular
1,4,862.81,0,Regular
15,22,13787.54,3,High-Value
4,31,12288.22,3,High-Value
4,15,8476.57,3,High-Value
8,7,2283.63,0,Regular
28,6,2863.08,0,Regular
372,1,89.14,1,Occasional
114,1,4873.8099999999995,0,Regular
26,2,1247.61,0,Regular
206,1,389.01,1,Occasional
28,6,1035.8,0,Regular
127,4,855.91,0,Regular
70,2,869.67,0,Regular
7,4,582.1,0,Regular
29,3,957.59,0,Regular
8,4,4939.99,0,Regular
80,2,797.71,0,Regular
20,1,219.0,0,Regular
71,1,283.55,0,Regular
7,8,2340.84,0,Regular
15,9,6868.29,0,Regular
292,1,603.42,1,Occasional
30,10,2712.91,0,Regular
15,15,9736.52,3,High-Value
97,3,1149.02,0,Regular
29,13,4396.13,0,Regular
1,1,848.55,0,Regular
9,5,4708.86,0,Regular
106,1,353.86,0,Regular
4,2,1053.49,0,Regular
151,2,1030.98,1,Occasional
71,1,238.25,0,Regular
5,2,644.95,0,Regular
3,25,5781.73,3,High-Value
32,6,2656.13,0,Regular
85,4,997.63,0,Regular
4,5,725.07,0,Regular
5,4,1031.41,0,Regular
371,1,427.8,1,Occasional
28,7,2609.1,0,Regular
11,7,3980.7,0,Regular
71,4,836.33,0,Regular
114,1,453.01,0,Regular
24,12,18895.91,3,High-Value
180,1,236.26000000000002,1,Occasional
234,1,383.95,1,Occasional
353,1,110.39999999999999,1,Occasional
315,2,779.5699999999999,1,Occasional
333,1,234.0,1,Occasional
372,1,155.35,1,Occasional
78,2,1013.04,0,Regular
64,1,427.6,0,Regular
134,2,546.43,0,Regular
52,7,21279.29,3,High-Value
2,11,4196.01,0,Regular
1,209,33719.73,2,High-Value
4,5,4090.88,0,Regular
129,1,275.88,0,Regular
81,1,4366.78,0,Regular
23,6,21429.39,0,Regular
236,3,3010.74,1,Occasional
281,2,3811.95,1,Occasional
87,1,112.07999999999998,0,Regular
16,13,7857.1,3,High-Value
117,2,2791.59,0,Regular
52,3,1531.44,0,Regular
8,2,1898.52,0,Regular
138,2,494.08,0,Regular
317,1,1693.88,1,Occasional
4,7,6989.63,0,Regular
239,1,1143.6,1,Occasional
211,1,1351.45,1,Occasional
60,1,892.47,0,Regular
17,5,1386.04,0,Regular
20,6,822.23,0,Regular
38,8,3981.36,0,Regular
64,2,826.74,0,Regular
5,5,2330.92,0,Regular
2,6,2225.91,0,Regular
9,2,574.42,0,Regular
364,1,311.95,1,Occasional
10,3,463.66,0,Regular
65,1,91.85,0,Regular
192,1,324.92,1,Occasional
374,1,192.60000000000002,1,Occasional
257,1,400.53999999999996,1,Occasional
335,2,545.48,1,Occasional
53,2,860.41,0,Regular
19,1,430.48,0,Regular
366,1,254.03,1,Occasional
10,3,6977.04,0,Regular
187,1,427.58,1,Occasional
37,3,483.65000000000003,0,Regular
178,1,489.31,1,Occasional
261,3,514.85,1,Occasional
45,1,229.64000000000001,0,Regular
102,1,125.92,0,Regular
148,2,1063.46,1,Occasional
96,2,572.2,0,Regular
281,1,166.04,1,Occasional
262,1,1542.08,1,Occasional
3,4,942.34,0,Regular
214,1,92.72,1,Occasional
71,2,948.88,0,Regular
75,5,1759.5,0,Regular
60,1,397.12,0,Regular
3,7,1474.72,0,Regular
6,3,430.15000000000003,0,Regular
3,6,1018.71,0,Regular
337,2,293.0,1,Occasional
38,6,6814.64,0,Regular
262,1,215.05,1,Occasional
32,2,383.03,0,Regular
145,1,417.38,1,Occasional
283,1,312.38,1,Occasional
59,4,2612.86,0,Regular
173,1,134.1,1,Occasional
34,2,683.13,0,Regular
3,14,5591.42,3,High-Value
144,4,2726.77,0,Regular
5,25,4022.35,3,High-Value
70,2,1118.99,0,Regular
66,8,1702.26,0,Regular
29,2,325.96000000000004,0,Regular
267,4,354.09,1,Occasional
22,1,871.54,0,Regular
31,2,1050.8899999999999,0,Regular
97,1,135.18,0,Regular
295,1,311.55,1,Occasional
135,6,1957.1000000000001,0,Regular
79,3,1324.5,0,Regular
373,1,38.1,1,Occasional
8,6,2179.93,0,Regular
211,2,1106.4,1,Occasional
52,1,521.2,0,Regular
138,1,147.12,0,Regular
26,2,1568.23,0,Regular
283,1,559.12,1,Occasional
26,7,4036.82,0,Regular
186,6,1607.0600000000002,1,Occasional
84,2,380.64,0,Regular
327,2,599.97,1,Occasional
282,1,374.0,1,Occasional
143,2,343.2300000000001,0,Regular
58,2,2218.02,0,Regular
4,12,1535.77,0,Regular
236,2,854.99,1,Occasional
45,3,573.22,0,Regular
276,1,298.0,1,Occasional
9,2,1463.04,0,Regular
25,4,703.47,0,Regular
88,1,309.05,0,Regular
63,3,1175.22,0,Regular
68,2,1378.4,0,Regular
214,2,354.12,1,Occasional
24,1,380.46999999999997,0,Regular
186,3,331.0,1,Occasional
31,1,188.14,0,Regular
42,2,372.8,0,Regular
205,2,216.5,1,Occasional
9,28,17654.54,3,High-Value
265,1,138.68,1,Occasional
18,2,509.58,0,Regular
12,5,2919.81,0,Regular
176,2,750.0,1,Occasional
40,5,2178.67,0,Regular
23,8,3075.04,0,Regular
3,5,1662.3,0,Regular
5,5,2483.63,0,Regular
149,2,363.65,1,Occasional
139,4,3006.15,0,Regular
128,1,594.0,0,Regular
8,6,1335.19,0,Regular
17,1,164.23,0,Regular
9,37,16587.09,3,High-Value
161,1,405.38,1,Occasional
64,1,176.97,0,Regular
88,4,933.7,0,Regular
5,2,694.05,0,Regular
35,5,2062.7000000000003,0,Regular
312,1,117.85,1,Occasional
78,2,415.8,0,Regular
22,15,42055.96,3,High-Value
24,3,607.53,0,Regular
2,7,2160.7,0,Regular
17,4,1063.9,0,Regular
15,4,1504.27,0,Regular
26,1,114.14,0,Regular
64,8,11581.8,0,Regular
55,2,913.54,0,Regular
131,3,683.9,0,Regular
36,2,604.51,0,Regular
288,1,462.95,1,Occasional
144,6,1603.99,0,Regular
16,7,2064.95,0,Regular
31,8,4167.22,0,Regular
2,3,1843.0,0,Regular
9,6,1064.07,0,Regular
6,4,1387.79,0,Regular
10,1,329.85,0,Regular
1,11,4757.16,0,Regular
306,1,108.07,1,Occasional
10,8,4017.54,0,Regular
7,2,266.39,0,Regular
8,8,1856.63,0,Regular
89,1,771.91,0,Regular
10,1,160.18,0,Regular
358,2,1660.9,1,Occasional
112,1,135.95,0,Regular
7,4,452.24,0,Regular
4,86,11189.91,3,High-Value
198,1,144.8,1,Occasional
212,1,738.6,1,Occasional
156,1,39.239999999999995,1,Occasional
158,9,7374.900000000001,0,Regular
30,2,372.21999999999997,0,Regular
243,1,390.54,1,Occasional
19,1,97.5,0,Regular
1,2,1239.38,0,Regular
74,2,558.7,0,Regular
292,1,535.32,1,Occasional
3,15,6924.110000000001,3,High-Value
31,3,409.5,0,Regular
23,2,503.76,0,Regular
23,4,414.76,0,Regular
4,3,974.4200000000001,0,Regular
85,1,211.32,0,Regular
22,4,1226.89,0,Regular
196,3,455.88,1,Occasional
107,3,534.85,0,Regular
4,13,9818.82,3,High-Value
318,1,120.94999999999999,1,Occasional
106,3,149.05,0,Regular
12,18,5655.91,3,High-Value
174,2,513.7,1,Occasional
56,1,81.57,0,Regular
323,1,229.46999999999997,1,Occasional
372,1,50.550000000000004,1,Occasional
9,8,1661.8400000000001,0,Regular
1,13,4810.9400000000005,0,Regular
11,10,3466.2799999999997,0,Regular
53,5,3346.28,0,Regular
73,3,789.89,0,Regular
7,1,204.0,0,Regular
16,28,7277.7,3,High-Value
4,9,2616.38,0,Regular
64,2,689.9,0,Regular
1,5,975.36,0,Regular
114,6,6912.0,0,Regular
23,2,661.3199999999999,0,Regular
31,3,1247.5,0,Regular
11,2,799.48,0,Regular
52,2,1010.18,0,Regular
357,1,190.55,1,Occasional
55,2,642.77,0,Regular
74,2,921.88,0,Regular
138,3,881.07,0,Regular
80,3,908.46,0,Regular
9,2,676.99,0,Regular
273,1,516.42,1,Occasional
291,1,560.47,1,Occasional
99,1,305.28000000000003,0,Regular
31,2,629.31,0,Regular
32,10,3237.54,0,Regular
14,4,1835.91,0,Regular
64,2,656.6800000000001,0,Regular
15,17,5836.86,3,High-Value
212,1,348.15000000000003,1,Occasional
78,3,1214.41,0,Regular
25,3,271.40000000000003,0,Regular
250,1,183.4,1,Occasional
254,1,307.53,1,Occasional
72,1,248.61,0,Regular
191,1,346.98,1,Occasional
13,4,1119.49,0,Regular
373,1,205.86,1,Occasional
24,2,470.8,0,Regular
82,1,115.46000000000001,0,Regular
10,2,344.0,0,Regular
1,24,4436.12,3,High-Value
192,1,228.8,1,Occasional
267,1,177.15,1,Occasional
130,1,919.61,0,Regular
1,4,729.27,0,Regular
3,26,12627.94,3,High-Value
4,5,220.10000000000002,0,Regular
179,1,58.08,1,Occasional
12,11,28337.38,3,High-Value
126,9,3613.63,0,Regular
4,2,303.75,0,Regular
158,2,416.08000000000004,1,Occasional
3,97,58825.83,2,High-Value
9,14,8910.82,3,High-Value
28,1,345.82,0,Regular
71,5,477.83,0,Regular
276,8,7832.47,1,Occasional
21,12,1927.3200000000002,0,Regular
71,1,74.39999999999999,0,Regular
33,10,6010.42,0,Regular
1,28,28882.44,3,High-Value
99,1,207.35999999999999,0,Regular
234,1,101.19,1,Occasional
1,24,6424.09,3,High-Value
40,1,243.94,0,Regular
3,6,1098.48,0,Regular
133,1,76.5,0,Regular
44,4,1531.6200000000001,0,Regular
373,1,350.06,1,Occasional
60,2,786.54,0,Regular
31,7,1488.67,0,Regular
1,24,12245.960000000001,3,High-Value
12,4,2294.78,0,Regular
138,1,501.14,0,Regular
22,8,984.91,0,Regular
20,5,1197.81,0,Regular
239,1,30.599999999999998,1,Occasional
269,1,283.73,1,Occasional
94,2,922.39,0,Regular
90,3,3866.33,0,Regular
5,8,2099.64,0,Regular
78,1,259.17,0,Regular
94,1,64.0,0,Regular
23,3,1073.3,0,Regular
262,1,77.3,1,Occasional
274,2,109.8,1,Occasional
86,4,1793.58,0,Regular
197,1,3096.0,1,Occasional
56,5,2607.61,0,Regular
11,8,3650.41,0,Regular
22,6,962.39,0,Regular
16,7,5064.94,0,Regular
108,3,423.72,0,Regular
85,5,2388.75,0,Regular
19,1,307.09,0,Regular
333,1,110.95,1,Occasional
40,4,618.52,0,Regular
26,1,228.91,0,Regular
10,4,712.8000000000001,0,Regular
29,12,3707.12,0,Regular
14,4,1676.06,0,Regular
296,1,1257.8700000000001,1,Occasional
6,1,486.22,0,Regular
33,4,971.76,0,Regular
49,4,1741.22,0,Regular
95,4,1201.06,0,Regular
9,4,1437.85,0,Regular
22,1,91.8,0,Regular
313,1,112.75,1,Occasional
122,4,1688.29,0,Regular
46,2,1021.48,0,Regular
283,1,417.2,1,Occasional
19,4,791.33,0,Regular
36,4,1319.19,0,Regular
64,2,712.88,0,Regular
27,1,116.00999999999999,0,Regular
22,3,468.41,0,Regular
4,2,353.65,0,Regular
16,3,2817.03,0,Regular
46,1,492.84,0,Regular
65,1,282.45,0,Regular
26,11,5725.47,0,Regular
45,1,121.18,0,Regular
8,9,3957.78,0,Regular
15,10,1701.29,0,Regular
268,1,71.4,1,Occasional
40,3,1575.89,0,Regular
337,1,236.02,1,Occasional
11,1,114.60000000000001,0,Regular
19,2,260.68,0,Regular
95,2,911.94,0,Regular
61,1,117.88,0,Regular
136,1,60.7,0,Regular
11,4,1797.78,0,Regular
10,6,3401.2400000000002,0,Regular
4,38,9817.12,3,High-Value
19,4,870.09,0,Regular
10,4,869.46,0,Regular
15,2,250.26000000000002,0,Regular
59,6,1223.9,0,Regular
30,8,5891.61,0,Regular
94,1,353.48,0,Regular
10,3,1197.42,0,Regular
20,3,788.08,0,Regular
57,5,1520.58,0,Regular
268,1,333.74,1,Occasional
122,3,533.98,0,Regular
127,1,62.63999999999999,0,Regular
78,4,819.2900000000001,0,Regular
240,2,847.41,1,Occasional
200,2,163.20000000000002,1,Occasional
60,2,2155.95,0,Regular
3,7,6463.84,0,Regular
273,1,108.21000000000001,1,Occasional
202,1,257.7,1,Occasional
81,1,358.0,0,Regular
226,1,160.95,1,Occasional
4,14,2806.97,0,Regular
13,7,1357.6,0,Regular
74,2,605.12,0,Regular
212,1,1031.07,1,Occasional
25,2,744.85,0,Regular
17,4,700.73,0,Regular
262,1,329.56,1,Occasional
96,4,663.65,0,Regular
112,3,270.40000000000003,0,Regular
203,1,600.07,1,Occasional
93,1,121.74000000000001,0,Regular
51,1,430.5,0,Regular
18,6,1987.3,0,Regular
18,4,501.12,0,Regular
125,2,465.68,0,Regular
92,3,711.41,0,Regular
157,2,1030.4,1,Occasional
9,2,399.51,0,Regular
12,3,698.58,0,Regular
62,1,292.32,0,Regular
61,1,557.62,0,Regular
269,2,944.1,1,Occasional
263,1,200.29,1,Occasional
1,35,7454.07,3,High-Value
53,5,2107.66,0,Regular
11,12,3834.2599999999998,0,Regular
3,19,4521.49,3,High-Value
18,11,3214.69,0,Regular
1,15,5346.2300000000005,3,High-Value
366,1,590.0,1,Occasional
37,1,217.38,0,Regular
31,2,276.56,0,Regular
113,1,138.98,0,Regular
64,2,590.9300000000001,0,Regular
16,4,258.4,0,Regular
41,1,542.73,0,Regular
78,1,137.75,0,Regular
122,3,814.86,0,Regular
18,3,1132.14,0,Regular
60,2,93.66,0,Regular
331,1,201.19,1,Occasional
23,4,2709.12,0,Regular
156,1,361.11,1,Occasional
39,2,578.9399999999999,0,Regular
190,2,873.74,1,Occasional
360,1,201.20000000000002,1,Occasional
137,1,87.4,0,Regular
8,4,2089.85,0,Regular
1,1,360.0,0,Regular
268,1,142.5,1,Occasional
169,1,371.89,1,Occasional
104,4,618.09,0,Regular
155,1,63.75,1,Occasional
351,1,300.42,1,Occasional
4,10,2000.86,0,Regular
120,1,15.0,0,Regular
23,3,1385.51,0,Regular
7,5,1456.79,0,Regular
28,3,1132.03,0,Regular
4,2,598.57,0,Regular
22,5,1555.32,0,Regular
2,3,775.94,0,Regular
37,4,5977.7300000000005,0,Regular
66,6,2273.68,0,Regular
1,3,640.76,0,Regular
5,26,10845.550000000001,3,High-Value
78,4,1548.7,0,Regular
72,2,567.36,0,Regular
17,1,199.48000000000002,0,Regular
3,5,787.85,0,Regular
36,10,7121.95,0,Regular
82,1,675.3,0,Regular
39,8,3627.77,0,Regular
316,1,1308.48,1,Occasional
32,2,789.0,0,Regular
93,3,1140.93,0,Regular
14,1,350.9,0,Regular
82,3,3536.82,0,Regular
77,1,795.12,0,Regular
158,1,487.02,1,Occasional
201,1,860.12,1,Occasional
45,7,10736.48,0,Regular
261,1,775.85,1,Occasional
178,1,353.43,1,Occasional
68,3,2543.72,0,Regular
288,1,389.5,1,Occasional
70,1,341.36,0,Regular
64,1,233.76,0,Regular
11,1,247.32,0,Regular
16,2,979.12,0,Regular
66,1,373.94,0,Regular
60,1,397.97999999999996,0,Regular
71,1,743.53,0,Regular
122,1,674.7,0,Regular
80,1,768.24,0,Regular
257,1,609.95,1,Occasional
269,1,439.03,1,Occasional
64,1,439.56,0,Regular
9,4,3090.7400000000002,0,Regular
18,2,992.5,0,Regular
71,1,134.95999999999998,0,Regular
34,2,2225.37,0,Regular
50,1,56.160000000000004,0,Regular
257,2,623.4,1,Occasional
366,1,308.28000000000003,1,Occasional
372,1,754.87,1,Occasional
90,1,378.64,0,Regular
61,3,3312.25,0,Regular
89,1,778.65,0,Regular
99,3,1019.76,0,Regular
26,3,572.56,0,Regular
32,6,3639.31,0,Regular
281,1,222.99,1,Occasional
31,7,4151.93,0,Regular
330,1,534.57,1,Occasional
131,2,677.1,0,Regular
11,3,797.96,0,Regular
75,1,544.08,0,Regular
204,1,59.8,1,Occasional
2,8,2520.02,0,Regular
185,1,307.72,1,Occasional
29,2,1360.99,0,Regular
73,5,1544.13,0,Regular
192,1,457.34,1,Occasional
127,2,621.23,0,Regular
18,1,75.0,0,Regular
1,2,252.49,0,Regular
74,3,572.451,0,Regular
2,62,28117.04,3,High-Value
24,5,1003.06,0,Regular
107,1,213.55,0,Regular
134,3,1390.5,0,Regular
44,2,712.5,0,Regular
5,2,640.83,0,Regular
12,18,6127.43,3,High-Value
64,1,221.06,0,Regular
150,2,159.85,1,Occasional
40,2,1851.08,0,Regular
64,1,2626.3,0,Regular
108,3,1624.21,0,Regular
1,10,3641.32,0,Regular
19,3,582.6,0,Regular
10,1,218.47,0,Regular
11,4,1006.8,0,Regular
19,2,679.45,0,Regular
67,2,1269.1,0,Regular
74,2,534.24,0,Regular
5,7,3809.8900000000003,0,Regular
2,1,196.89,0,Regular
14,7,3408.06,0,Regular
255,1,283.71,1,Occasional
92,1,296.64,0,Regular
23,3,1129.14,0,Regular
17,6,3539.37,0,Regular
24,1,291.88,0,Regular
27,6,2043.7199999999998,0,Regular
26,5,2976.15,0,Regular
259,2,590.0,1,Occasional
166,2,356.97999999999996,1,Occasional
25,2,1058.34,0,Regular
18,6,1766.72,0,Regular
7,14,9646.57,3,High-Value
29,2,183.44,0,Regular
39,3,1445.0,0,Regular
253,1,151.5,1,Occasional
58,1,674.68,0,Regular
184,1,307.9,1,Occasional
11,2,1083.71,0,Regular
2,37,5704.97,3,High-Value
99,2,165.0,0,Regular
1,4,2531.58,0,Regular
61,2,422.64,0,Regular
236,1,229.59,1,Occasional
191,4,1431.78,1,Occasional
179,2,1238.47,1,Occasional
38,6,1454.58,0,Regular
201,2,300.95,1,Occasional
46,5,1804.56,0,Regular
232,1,184.64,1,Occasional
66,1,140.34,0,Regular
241,1,313.8,1,Occasional
233,1,454.24,1,Occasional
78,3,1122.41,0,Regular
58,3,575.4,0,Regular
17,13,8968.31,3,High-Value
105,4,449.52,0,Regular
52,10,1215.82,0,Regular
136,3,1269.84,0,Regular
275,2,618.63,1,Occasional
312,1,316.26000000000005,1,Occasional
8,5,2044.8700000000001,0,Regular
11,2,653.33,0,Regular
283,2,348.05,1,Occasional
18,5,1159.11,0,Regular
23,3,1166.77,0,Regular
288,1,1340.32,1,Occasional
17,3,292.0,0,Regular
71,1,216.85,0,Regular
64,1,295.93,0,Regular
73,4,4393.63,0,Regular
316,2,458.52,1,Occasional
3,4,2479.16,0,Regular
244,1,110.97,1,Occasional
9,7,979.72,0,Regular
1,4,1791.56,0,Regular
261,1,251.21,1,Occasional
127,1,205.1,0,Regular
74,1,152.20000000000002,0,Regular
73,4,891.12,0,Regular
21,3,1389.41,0,Regular
60,3,2128.42,0,Regular
86,1,659.4399999999999,0,Regular
78,1,122.75,0,Regular
59,6,3624.35,0,Regular
1,3,1093.65,0,Regular
30,1,125.80000000000001,0,Regular
33,5,3964.88,0,Regular
41,5,680.1800000000001,0,Regular
15,2,628.78,0,Regular
34,7,2287.51,0,Regular
79,2,307.76,0,Regular
205,2,483.8,1,Occasional
34,1,210.31,0,Regular
183,3,270.79,1,Occasional
2,25,5870.08,3,High-Value
1,7,3448.29,0,Regular
43,7,1280.85,0,Regular
86,3,631.34,0,Regular
40,2,291.41,0,Regular
12,3,626.99,0,Regular
96,2,682.41,0,Regular
26,7,918.2,0,Regular
319,1,91.80000000000001,1,Occasional
66,12,3740.07,0,Regular
74,4,4149.28,0,Regular
28,2,584.06,0,Regular
6,4,605.06,0,Regular
7,1,174.37,0,Regular
216,1,141.85999999999999,1,Occasional
82,3,1799.33,0,Regular
84,2,777.53,0,Regular
144,3,1749.02,0,Regular
19,2,240.22,0,Regular
41,2,874.71,0,Regular
173,1,192.85,1,Occasional
17,2,373.75,0,Regular
243,1,239.49,1,Occasional
13,12,2092.32,0,Regular
206,1,1384.25,1,Occasional
50,2,294.4,0,Regular
